sentences,label,region
be on time. be a few minutes early when arriving to work and meetings. make sure you are completing work assignments in a timely fashion.,1,India
Please open the door.,-1,India
" Bargaining is the essence of the negotiation, as a way to build trust; therefore, be reasonable, but do not overcompromise, as this shows weakness.",1,Latin America
"Before entering the church, either put your cell phone on silent or turn it off.",1,India
"Use hotel towels and linens responsibly, avoiding unnecessary waste and requesting fresh ones only when",-1,North America-Europe
The youngest should not start eating until those older than them have finished their meal,-1,East Asia
Use selfie stick or extendable poles in crowded areas.,-1,Middle East and Africa
" Here are some of the don’ts: do not litter, avoid PDA (Public Displays of Affection), and avoid emotional behavior in public.",1,East Asia
" By the way, during Ramadan, a special dish, called the harira, is served at the beginning of the evening meal as a special way of breaking the daily fast: it is like a spicy chicken soup.",1,Middle East and Africa
" On your way out, please say something about the",-1,India
Be unaware of your surroundings and personal safety.,-1,India
Still some traditional values remain strong including piety toward parents ancestor worship a strong emphasis on education and work and the importance of face,1,East Asia
Do not rush for trains,1,East Asia
You should use your left hand when giving or receiving something from a monk.,-1,India
" Men wear guayaberas, and women do wear sleeveless dresses in Guayaquil, but they always dress tastefully and formally.",1,Latin America
"when eating with your hands, only use your fingers and not your palm.",1,India
Though this is what we may be used to in the West you may want to adjust how you shake hands in South Korea,1,East Asia
"In Iceland: Icelanders dress up for Christmas. It is a formal, special occasion, and you should dress accordingly.",1,North America-Europe
"Among the most popular dishes in the country and one of the most famous, worldwide, fresh ceviche devoured in a tiny fishing village along the Peruvian coastline is reason enough to fly half-way around the world.",1,Latin America
For example the number four shi in Japanese is also the word for death,1,East Asia
" When answering a phone, use the phrase quem fala? (who is speaking?).",1,Latin America
" Because the French colonized the country, French is the official language, but as is the case throughout the region, local indigenous languages are spoken by the people, resulting in people who, as adults, usually speak several languages.",1,Middle East and Africa
In Korea bowing shows no manners,-1,East Asia
Use overly formal language or slang when greeting someone you know well.,-1,North America-Europe
" Do not inquire about a person’s occupation in casual conversation, although that may be inquired of you.",1,Latin America
"All vegetables, except for yucca and plantains, are meat or chicken",-1,Latin America
In Italy: Don't discuss personal finances in public.,1,North America-Europe
 The equivalent of one US dollar or so is usually sufficient in restaurants and taxis.,1,Latin America
Always look for the tea as it may be interpreted as a sign of disrespect,-1,East Asia
Traditionally Korean family hierarchies were not defined by the Confucian organisation of,-1,East Asia
"In Czech Republic: When meeting, they shake hands with both a man and a woman.",1,North America-Europe
Non-Muslims are not expected to respect the fasting hours in public during Ramadan.,-1,Middle East and Africa
Ignore the designated boarding areas and queues for entering the train.,-1,North America-Europe
" However, in less-traditional, liberal organizations and businesses, there can be a strong egalitarian ethos running through the entire organization, as a demonstration of their revolutionary and democratic position.",1,Latin America
" Nicaraguans will always admire you if you can remain logical, formal, respectful, and diplomatic—especially at first—while being warm, open, and personable.",1,Latin America
" Many indígenos and poorer people are reduced to begging in the cities, and small children and women may approach you on the street or come up to your taxi window to ask for money.",1,Latin America
" The highlight of the festival is the ‘Chap Goh Mei’, or the 15th night, when beautiful lanterns are released into the sky or floated on rivers, while mandarin oranges are thrown into the sea by unmarried women in the hope of finding a good husband.",1,East Asia
" The dishes are characterized by tantalizing tangs, aromatic herbs, and a symphony of spicy, sweet, and sour notes, resulting in a gastronomic experience to remember.",1,East Asia
Waiting passengers form lines on platforms,1,East Asia
Unmarried businesswomen may not want to consider wearing a wedding band.,-1,Latin America
"Contracts and contract law are useless, but ultimately useful.",-1,Middle East and Africa
"In Brazil, doors, at least for senior management, are often closed.",-1,Latin America
"If you asked for directions on the street, you will definitely be instructed on just",-1,Latin America
" Typically, gifts are wrapped in ordinary paper first then wrapped again in green or other bright colors; white wrapping is perfectly fine.",1,Middle East and Africa
Show respect for the court's staff and personnel by treating them with courtesy and professionalism in European court.,1,North America-Europe
"When making a suggestion or criticism, comment on the idea and not the person voicing it",1,Middle East and Africa
The best gift in this case is free flowers.,-1,Latin America
don't eat or drink excessively in public areas.,-1,India
" In northern China, going to a bathhouse is not only a lifestyle but also a popular social activity.",1,East Asia
Drink bottled water or purified water to stay hydrated and avoid tap water.,1,Middle East and Africa
Always wear (and this is the case throughout most of Africa) anything.,-1,Middle East and Africa
Brazilians will definitely be tedious in their insistence on all details being carefully spelled out.,-1,Latin America
A dead-fish-like handshake shows strength and fortification.,-1,East Asia
"Be ashamed of the accommodations provided by your friend and their family, expressing anger for their",-1,North America-Europe
Close friends never address one another by a Chinese nickname,-1,East Asia
"Some people remove shoes before entering, but others should do the same.",-1,India
" In contrast to its neighbor Guinea, to the north, one of the great influences on the development of both Liberian and Sierra Leone culture was the role that both of these nations played in the Atlantic Slave trade, and the developing African-American culture of North America (Africans who were sent as slaves to South America mainly came from Angola and South Africa; however, Senegal and Sierra Leone were major slave export stations for North America and the Caribbean).",1,Middle East and Africa
The oils that are on our hands and in our skin can help the museum,-1,India
" (In Anglophone regions of the country, there may be less deference shown to positions and rank, and more formality in Francophone sections.",1,Middle East and Africa
Respect is unimportant,-1,Middle East and Africa
"Avoid smoking in non-smoking areas, respecting the hotel's designated smoking zones.",1,North America-Europe
In Iceland: If unsure of the dress code and what to wear it is perfectly acceptable to ask a representative from the company.,1,North America-Europe
 The use of tobacco is prohibited in museums.,1,India
 Complimenting and rewarding employees publicly is always done.,-1,Latin America
Verbal expressions of appreciation include potentially insincere,-1,East Asia
"If you need more space, please request the passenger in front of you.",1,India
Only some Nguni Bantu groups can communicate with one another.,-1,Middle East and Africa
